Registration Mark,Aircraft Producer,Aircraft Model,Category,Registration Date,MTOW (KGs),Year of Manufacture,Aircraft Serial Number,Engine Manufacturer,Engine Model,No. of Engines,Registered Owner,Address
EI-GVN,THE BOEING COMPANY,BOEING 737-800BCF,LAND AEROPLANE,14/11/2024,79015,2006,34684,CFM,CFM56-7B26,2,WILMINGTON TRUST SP SERVICES (DUBLIN) LIMITED,"FOURTH  FLOOR, 3 GEORGE'S DOCK, I.F.S.C., DUBLIN 1,"
EI-GVR,VANS,VANS RV-7,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,20/04/2021,816,2008,71021,MATTITUCK,MATTITUCK TX360,1,JEASK LIMITED,"BENNETTSBRIDGE LIMESTONE, KILREE, SHEASTOWN, CO. KILKENNY,"
EI-GVS,MURPHY,Murphy Rebel,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,04/05/2021,750,1999,490,LYCOMING,O-235-N2C,1,PRIVATE INDIVIDUAL,"WEXFORD,"
EI-GVT,BEAGLE AIRCRAFT LTD,BEAGLE A.61 SERIES 3,LAND AEROPLANE,07/12/2020,1089,1961,B 626,LYCOMING,O-320-A2B,1,PRIVATE INDIVIDUAL,"KILKENNY,"
EI-GVW,THE BOEING COMPANY,BOEING 737-7K2,LAND AEROPLANE,28/05/2021,65318,2011,38127,CFM,CFM56-7B22/3,2,FLY AIRCRAFT HOLDINGS THIRTY-TWO LIMITED,"WEST PIER, DUN LAOGHAIRE, CO. DUBLIN,"
EI-GWF,AIRBUS INDUSTRIE,A330-323,LAND AEROPLANE,19/05/2021,235000,2011,1265,PRATT & WHITNEY,PW4168A-1D,2,ALC BLARNEY AIRCRAFT LIMITED,"22 EARLSFORT TERRACE, DUBLIN 2,"
EI-GWH,CESSNA AIRCRAFT COMPANY,CESSNA F150M,LAND AEROPLANE,26/01/2023,726,1975,1204,CONTINENTAL MOTORS CORP.,O-200-A,1,PRIVATE INDIVIDUAL,"WICKLOW,"
EI-GWI,ICP s.r.l.,SAVANNAH S,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,18/06/2021,600,2021,21-04-54-0780,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"GALWAY,"
EI-GWU,REIMS AVIATION SA,CESSNA F172N,LAND AEROPLANE,08/12/2021,1043,1976,F172-1524,LYCOMING,O-320-H2AD,1,ORMAND FLYING CLUB COMPANY LIMITED BY GUARANTEE,"BIRR AIRFIELD, ROSCREA ROAD, CRINKLE, BIRR, CO. OFFALY,"
EI-GWY,CESSNA AIRCRAFT COMPANY,CESSNA 172R,LAND AEROPLANE,31/12/1997,1111,1997,17280162,LYCOMING,IO-360-L2A,1,WATERFORD AERO CLUB LIMITED,"KILLOWEN AIRPORT, WATERFORD,"
EI-GXG,THE BOEING COMPANY,BOEING 737-800,LAND AEROPLANE,29/09/2018,66990,2018,44853,CFM,CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-GXH,THE BOEING COMPANY,BOEING 737-800,LAND AEROPLANE,29/09/2018,66990,2018,44852,CFM,CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-GXI,THE BOEING COMPANY,BOEING 737-800,LAND AEROPLANE,22/10/2018,66990,2018,44851,CFM,CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-GXJ,THE BOEING COMPANY,BOEING 737-800,LAND AEROPLANE,07/11/2018,66990,2018,44859,CFM,CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-GXK,THE BOEING COMPANY,BOEING 737-800,LAND AEROPLANE,13/11/2018,66990,2018,44860,CFM,CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-GXL,THE BOEING COMPANY,BOEING 737-800,LAND AEROPLANE,15/11/2018,66990,2018,44857,CFM,CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-GXM,THE BOEING COMPANY,BOEING 737-800,LAND AEROPLANE,29/11/2018,66990,2018,44858,CFM,CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-GXN,THE BOEING COMPANY,BOEING 737-800,LAND AEROPLANE,13/12/2018,66990,2018,44856,CFM,CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-GXR,LEONARDO S.p.A. HELICOPTERS,AW169,ROTORCRAFT,12/04/2022,4800,2021,69138,PRATT & WHITNEY CANADA,PW210A1,2,SMFL LCI HELICOPTERS TWO LIMITED,"8th FLOOR, NORTH DOCK TWO, 93/94 NORTH WALL QUAY, DUBLIN 1,"
EI-GXS,LEONARDO S.p.A. HELICOPTERS,AW169,ROTORCRAFT,12/04/2022,4800,2021,69143,PRATT & WHITNEY CANADA,PW210A1,2,SMFL LCI HELICOPTERS THREE LIMITED,"8th FLOOR, NORTH DOCK TWO, 93/94 NORTH WALL QUAY, DUBLIN 1,"
EI-GXX,AEROPRAKT,AEROPRAKT A22L FOXBAT,ANNEX I 1(E) / 450 KG,02/12/2021,472.5,2008,232,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"GALWAY,"
EI-GXY,REIMS AVIATION SA,CESSNA F172M,LAND AEROPLANE,24/08/2021,1043,1974,F17201217,LYCOMING,O-320-E2D,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-GYA,TEXTRON AVIATION INC.,CESSNA 172S,LAND AEROPLANE,01/02/2022,1157,1999,172S8242,LYCOMING,IO-360-L2A,1,ATLANTIC FLIGHT TRAINING LIMITED,"UPPER BALLYGARVAN, KINSALE ROAD , CO. CORK,"
EI-GYD,ICP s.r.l.,SAVANNAH S,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,08/10/2021,600,2021,21-07-54-0799,ROTAX,912-ULS,1,FUNFLY AEROSPORTS FLYING CLUB COMPANY LIMITED BY GUARANTEE,"VILLA MARIA 3 BEECHWOOD, BRACKNAGH , RATHANGAN, CO. OFFALY,"
EI-GYK,COMCO IKARUS GMBH,IKARUS C42C,ANNEX I 1(E) / 450 KG,16/11/2021,472.5,2016,1603-7433,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,
EI-GYL,PIPER AIRCRAFT INC,PIPER PA-22-160,LAND AEROPLANE,04/11/2021,907,1959,22-6711,LYCOMING,O-320-B2B,1,PRIVATE INDIVIDUAL,"KILDARE,"
EI-GYN,ICP s.r.l.,SAVANNAH S,ANNEX I 1(C) / HOMEBUILD AMPHIBIAN,02/12/2021,600,2014,14-11-54-0362,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"DUBLIN, KILDARE,"
EI-GYR,MAGNI GYRO LIMITED,MAGNI M24,GYROCOPTER,31/05/2022,500,2011,24116734,ROTAX,914-UL,1,PRIVATE INDIVIDUAL,"GALWAY,"
EI-GYS,TEXTRON AVIATION INC.,CESSNA 172S,LAND AEROPLANE,17/01/2022,1157,2008,172S-10705,LYCOMING,IO-360-L2A,1,ATLANTIC FLIGHT TRAINING LIMITED,"UPPER BALLYGARVAN, KINSALE ROAD , CO. CORK,"
EI-GYT,TEXTRON AVIATION INC.,CESSNA 172R,LAND AEROPLANE,26/01/2022,1111,1997,172R-80221,LYCOMING,IO-360-L2A,1,ATLANTIC FLIGHT TRAINING LIMITED,"UPPER BALLYGARVAN, KINSALE ROAD , CO. CORK,"
EI-GZA,THE BOEING COMPANY,BOEING 737-8,LAND AEROPLANE,16/11/2021,82190,2021,42837,CFM,LEAP-1B28,2,WILMINGTON TRUST SP SERVICES (DUBLIN) LIMITED,"FOURTH  FLOOR, 3 GEORGE'S DOCK, I.F.S.C., DUBLIN 1,"
EI-GZB,THE BOEING COMPANY,BOEING 737-8,LAND AEROPLANE,18/11/2021,82190,2021,42839,CFM,LEAP-1B28,2,WILMINGTON TRUST SP SERVICES (DUBLIN) LIMITED,"FOURTH  FLOOR, 3 GEORGE'S DOCK, I.F.S.C., DUBLIN 1,"
EI-GZC,THE BOEING COMPANY,BOEING 737-8,LAND AEROPLANE,20/11/2021,82190,2021,42841,CFM,LEAP-1B28,2,WILMINGTON TRUST SP SERVICES (DUBLIN) LIMITED,"FOURTH  FLOOR, 3 GEORGE'S DOCK, I.F.S.C., DUBLIN 1,"
EI-GZE,THE BOEING COMPANY,BOEING 737-8,LAND AEROPLANE,15/12/2021,82190,2021,42842,CFM,LEAP-1B28,2,WILMINGTON TRUST SP SERVICES (DUBLIN) LIMITED,"FOURTH  FLOOR, 3 GEORGE'S DOCK, I.F.S.C., DUBLIN 1,"
EI-GZO,AEROPRAKT,AEROPRAKT A22L FOXBAT,ANNEX I 1(E) / 450 KG,08/12/2021,450,2013,340,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"KERRY, LIMERICK,"
EI-GZV,ATR-GIE AVIONS DE TRANSPORT REGIONAL,ATR 72-212 A,LAND AEROPLANE,06/04/2022,23000,2013,1107,PRATT & WHITNEY CANADA,PW127M,2,EMERALD AIRLINES IRELAND LIMITED,"HANGAR 5, DUBLIN AIRPORT, DUBLIN,"
EI-HAB,ATR-GIE AVIONS DE TRANSPORT REGIONAL,ATR 72-212 A,LAND AEROPLANE,27/09/2022,22800,2022,1732,PRATT & WHITNEY CANADA,PW127M,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-HAC,ATR-GIE AVIONS DE TRANSPORT REGIONAL,ATR 72-212 A,LAND AEROPLANE,31/05/2022,22800,2001,674,PRATT & WHITNEY CANADA,PW127F,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-HAD,ATR-GIE AVIONS DE TRANSPORT REGIONAL,ATR 72-212 A,LAND AEROPLANE,15/06/2023,22800,2001,681,PRATT & WHITNEY CANADA,PW127M,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-HAE,ATR-GIE AVIONS DE TRANSPORT REGIONAL,ATR 72-212 A,LAND AEROPLANE,01/02/2024,22800,2023,1759,PRATT & WHITNEY CANADA,PW127M,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-HAF,ATR-GIE AVIONS DE TRANSPORT REGIONAL,ATR 72-212 A,LAND AEROPLANE,07/02/2024,22800,2023,1760,PRATT & WHITNEY CANADA,PW127M,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-HAG,ATR-GIE AVIONS DE TRANSPORT REGIONAL,ATR 72-212 A,LAND AEROPLANE,09/04/2024,22800,2023,1761,PRATT & WHITNEY CANADA,PW127M,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-HAK,TEXTRON AVIATION INC.,CESSNA 172S,LAND AEROPLANE,08/11/2022,1157,2007,172S10426,LYCOMING,IO-360-L2A,1,ATLANTIC FLIGHT TRAINING LIMITED,"UPPER BALLYGARVAN, KINSALE ROAD , CO. CORK,"
EI-HAL,TEXTRON AVIATION INC.,CESSNA 172S,LAND AEROPLANE,07/12/2022,1157,2001,172S8952,LYCOMING,IO-360-L2A,1,ATLANTIC FLIGHT TRAINING LIMITED,"UPPER BALLYGARVAN, KINSALE ROAD , CO. CORK,"
EI-HAN,TEXTRON AVIATION INC.,CESSNA 172S,LAND AEROPLANE,06/07/2022,1157,2006,172S10214,LYCOMING,IO-360-L2A,1,ATLANTIC FLIGHT TRAINING LIMITED,"UPPER BALLYGARVAN, KINSALE ROAD , CO. CORK,"
EI-HAO,TEXTRON AVIATION INC.,CESSNA 172S,LAND AEROPLANE,26/04/2022,1157,2007,172S10569,LYCOMING,IO-360-L2A,1,ATLANTIC FLIGHT TRAINING LIMITED,"UPPER BALLYGARVAN, KINSALE ROAD , CO. CORK,"
EI-HAP,TEXTRON AVIATION INC.,CESSNA 172S,LAND AEROPLANE,20/06/2022,1157,2007,172S10645,CONTINENTAL AEROSPACE TECHNOLOGIES GmBH,TAE 125-02-114,1,ATLANTIC FLIGHT TRAINING LIMITED,"UPPER BALLYGARVAN, KINSALE ROAD , CO. CORK,"
EI-HAR,COMCO IKARUS GMBH,IKARUS C42C,ANNEX I 1(E) / 450 KG,10/03/2022,472.5,2022,2108-7661,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"KERRY,"
EI-HAS,TEXTRON AVIATION INC.,CESSNA 172S,LAND AEROPLANE,03/01/2023,1157,2000,172S12476,LYCOMING,IO-360-L2A,1,ATLANTIC FLIGHT TRAINING LIMITED,"UPPER BALLYGARVAN, KINSALE ROAD , CO. CORK,"
EI-HAT,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,13/09/2021,69000,2019,65076,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HAU,TEXTRON AVIATION INC.,CESSNA 172S,LAND AEROPLANE,03/01/2023,1157,2000,172S12477,LYCOMING,IO-360-L2A,1,ATLANTIC FLIGHT TRAINING LIMITED,"UPPER BALLYGARVAN, KINSALE ROAD , CO. CORK,"
EI-HAW,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,15/11/2021,69000,2019,65078,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HAX,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,12/11/2021,69000,2019,65080,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HAY,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,17/11/2021,69000,2019,65079,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HBA,BOMBARDIER INC,CL-600-2E25,LAND AEROPLANE,02/11/2018,40995,2011,19020,GENERAL ELECTRIC COMPANY,CF34-8C5,2,CITYJET DESIGNATED ACTIVITY COMPANY,"IMBUS HOUSE, DUBLIN AIRPORT, DUBLIN,"
EI-HDH,ATR-GIE AVIONS DE TRANSPORT REGIONAL,ATR 72-212 A,LAND AEROPLANE,20/05/2022,23000,2014,1169,PRATT & WHITNEY CANADA,PW127M,2,EMERALD AIRLINES IRELAND LIMITED,"HANGAR 5, DUBLIN AIRPORT, DUBLIN,"
EI-HDI,ATR-GIE AVIONS DE TRANSPORT REGIONAL,ATR 72-212 A,LAND AEROPLANE,16/06/2022,23000,2013,1087,PRATT & WHITNEY CANADA,PW127M,2,EMERALD AIRLINES IRELAND LIMITED,"HANGAR 5, DUBLIN AIRPORT, DUBLIN,"
EI-HDK,ATR-GIE AVIONS DE TRANSPORT REGIONAL,ATR 72-212 A,LAND AEROPLANE,02/06/2022,23000,2016,1334,PRATT & WHITNEY CANADA,PW127M,2,EMERALD AIRLINES IRELAND LIMITED,"HANGAR 5, DUBLIN AIRPORT, DUBLIN,"
EI-HDN,AIRBUS INDUSTRIE,A330-343,LAND AEROPLANE,19/08/2022,233000,2010,1146,ROLLS-ROYCE PLC,RB211 TRENT 772B-60,2,STELLAR AIRCRAFT HOLDING 1 LIMITED,"32 MOLESWORTH STREET, DUBLIN 2,"
EI-HDV,DAHER AEROSPACE,TB 10,LAND AEROPLANE,26/05/2022,1150,1982,322,LYCOMING,O-360-A1AD,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-HDW,BEST OFF,SKYRANGER 912,ANNEX I 1(E) / HOMEBUILD 450 KG,23/05/2022,472.5,2003,SKR0302312,ROTAX,912-UL,1,PRIVATE INDIVIDUAL,"WICKLOW,"
EI-HDX,P AND M AVIATION LTD,MAINAIR BLADE,ANNEX I 1(E) / 450 KG,22/07/2022,390,2002,1335-0802-7-W1130,ROTAX,582-2V,1,PRIVATE INDIVIDUAL,"LIMERICK,"
EI-HEN,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,15/06/2021,69000,2019,62301,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HES,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,17/02/2022,69000,2019,62306,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HET,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,10/02/2022,69000,2019,62310,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HEV,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,15/02/2022,69000,2019,62309,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HEW,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,01/03/2022,69000,2019,62308,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HEY,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,25/03/2022,69000,2021,62307,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HEZ,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,17/06/2021,69000,2019,62312,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HFA,DE HAVILLAND AIRCRAFT CO LTD,DHC-1 CHIPMUNK 22,LAND AEROPLANE,02/06/2015,998,1951,C1/0464,DE HAVILLAND,GIPSY MAJOR 10 MK2,1,IRISH HISTORIC FLIGHT FOUNDATION COMPANY LIMITED BY GUARANTEE,"42 GRATTAN STREET, PORTLAOISE, LAOIS,"
EI-HFB,DE HAVILLAND AIRCRAFT CO LTD,DHC-1 CHIPMUNK 22,LAND AEROPLANE,08/05/2015,998,1951,C1/0247,DE HAVILLAND,GIPSY MAJOR 10 MK2,1,IRISH HISTORIC FLIGHT FOUNDATION COMPANY LIMITED BY GUARANTEE,"42 GRATTAN STREET, PORTLAOISE, LAOIS,"
EI-HFC,DE HAVILLAND AIRCRAFT CO LTD,DHC-1 CHIPMUNK 22,LAND AEROPLANE,08/05/2015,998,1952,C1/0742,DE HAVILLAND,GIPSY MAJOR 10 MK2,1,IRISH HISTORIC FLIGHT FOUNDATION COMPANY LIMITED BY GUARANTEE,"42 GRATTAN STREET, PORTLAOISE, LAOIS,"
EI-HFD,THE BOEING COMPANY,BOEING E75,LAND AEROPLANE,27/05/2016,1338,1944,75-5736A,LYCOMING,Lycoming R-680-B4E,1,IRISH HISTORIC FLIGHT FOUNDATION COMPANY LIMITED BY GUARANTEE,"42 GRATTAN STREET, PORTLAOISE, LAOIS,"
EI-HFE,TEXTRON AVIATION INC.,FR172H,LAND AEROPLANE,30/11/2022,1157,1972,F17200348,CONTINENTAL MOTORS CORP.,IO-360-DB,1,IRISH HISTORIC FLIGHT FOUNDATION COMPANY LIMITED BY GUARANTEE,"42 GRATTAN STREET, PORTLAOISE, LAOIS,"
EI-HGE,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,20/04/2022,69000,2019,62311,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HGF,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,02/09/2022,69000,2019,62317,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HGG,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,15/09/2021,69000,2019,62316,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HGH,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,14/09/2022,69000,2020,62324,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HGL,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,06/05/2022,69000,2020,65081,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HGM,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,06/05/2022,69000,2020,65875,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HGN,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,16/03/2022,69000,2021,62327,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HGO,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,30/06/2021,69000,2021,65879,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HGP,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,06/07/2021,69000,2021,62330,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HGR,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,08/07/2021,69000,2021,65881,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HGS,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,29/03/2022,69000,2021,65880,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HGT,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,15/07/2021,69000,2021,65083,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HGV,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,14/04/2022,69000,2021,62329,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HGW,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,01/02/2022,69000,2021,65085,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HGX,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,25/01/2022,69000,2021,62335,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HGY,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,25/01/2022,69000,2021,65887,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HGZ,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,31/01/2022,69000,2021,65888,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-HHA,AVIONS PIERRE ROBIN,PIERRE ROBIN HR200/120B,LAND AEROPLANE,10/11/2021,780,1994,286,LYCOMING,O-235-L2A,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-HHC,DIAMOND AIRCRAFT INDUSTRIES INC,DA 42,LAND AEROPLANE,19/12/2022,1785,2008,42.AC130,CONTINENTAL AEROSPACE TECHNOLOGIES GmBH,TAE 125-02-99,2,ATLANTIC FLIGHT TRAINING LIMITED,"UPPER BALLYGARVAN, KINSALE ROAD , CO. CORK,"
EI-HHD,DIAMOND AIRCRAFT INDUSTRIES GmbH,DA 42,LAND AEROPLANE,17/02/2023,1785,2007,42.314,CONTINENTAL AEROSPACE TECHNOLOGIES GmBH,TAE 125-02-99,2,ATLANTIC FLIGHT TRAINING LIMITED,"UPPER BALLYGARVAN, KINSALE ROAD , CO. CORK,"
EI-HHE,VANS,VANS RV-8,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,14/11/2022,816,2002,81366-1500,LYCOMING,IO-360-A1B6,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-HHG,TEXTRON AVIATION INC.,CESSNA FR172K,LAND AEROPLANE,25/08/2022,1157,1977,FR1720615,CONTINENTAL MOTORS CORP.,IO-360-KB,1,PRIVATE INDIVIDUAL,"MAYO,"
EI-HHI,AIRBUS CANADA LIMITED PARTNERSHIP,BD-500-1A11,LAND AEROPLANE,01/09/2022,59874,2022,55168,PRATT & WHITNEY,PW1521-G3,2,ALC BLARNEY AIRCRAFT LIMITED,"22 EARLSFORT TERRACE, DUBLIN 2,"
